,Id,Guess
0,02778a56-bbbe-11e8-b2ba-ac1f6b6435d0, 8
1,02fefb04-bbc7-11e8-b2bc-ac1f6b6435d0, 5
2,030b6ee2-bbbe-11e8-b2ba-ac1f6b6435d0, 25
3,0598a6a8-bb9f-11e8-b2b9-ac1f6b6435d0, 8
4,0625433c-bba5-11e8-b2ba-ac1f6b6435d0, 0 10
5,069310d0-bbb7-11e8-b2ba-ac1f6b6435d0, 1 
6,07ffd722-bbae-11e8-b2ba-ac1f6b6435d0, 25
7,08f85522-bbc8-11e8-b2bc-ac1f6b6435d0, 9
8,09471fae-bbaf-11e8-b2ba-ac1f6b6435d0, 4
9,0ab5c4ca-bbc9-11e8-b2bc-ac1f6b6435d0, 8
10,0c595c0e-bbc1-11e8-b2bb-ac1f6b6435d0, 10
11,0c6a0c1c-bbc5-11e8-b2bc-ac1f6b6435d0, 9
12,1014e186-bbb4-11e8-b2ba-ac1f6b6435d0, 21
13,113053ca-bbbe-11e8-b2ba-ac1f6b6435d0, 9
14,11b54f76-bba5-11e8-b2ba-ac1f6b6435d0, 6
15,125e5b40-bba8-11e8-b2ba-ac1f6b6435d0, 25
16,141ba95a-bba9-11e8-b2ba-ac1f6b6435d0, 25
17,1617dbf8-bbad-11e8-b2ba-ac1f6b6435d0, 24
18,1d61b1fe-bbad-11e8-b2ba-ac1f6b6435d0, 25
19,1e5defc0-bbb5-11e8-b2ba-ac1f6b6435d0, 15
20,1ea2ff2e-bbca-11e8-b2bc-ac1f6b6435d0, 25
21,1fe140c8-bbb9-11e8-b2ba-ac1f6b6435d0, 25
22,2042aa3a-bb9a-11e8-b2b9-ac1f6b6435d0, 25
23,2414194c-bbb7-11e8-b2ba-ac1f6b6435d0, 8
24,265c5f90-bba1-11e8-b2b9-ac1f6b6435d0, 21
25,2bc22cbc-bbab-11e8-b2ba-ac1f6b6435d0, 1 25
26,2d491298-bbca-11e8-b2bc-ac1f6b6435d0, 12
27,001838f8-bbca-11e8-b2bc-ac1f6b6435d0, 19
28,04305cbe-bba1-11e8-b2b9-ac1f6b6435d0, 0 25
29,04eb37e0-bba7-11e8-b2ba-ac1f6b6435d0, 25 3
30,05606922-bbbe-11e8-b2ba-ac1f6b6435d0, 25 0
31,06be3aea-bbc5-11e8-b2bc-ac1f6b6435d0, 8
32,06f02a3e-bbc3-11e8-b2bc-ac1f6b6435d0, 0
33,0cd56794-bbb8-11e8-b2ba-ac1f6b6435d0, 0 25
34,0e970e5e-bbb6-11e8-b2ba-ac1f6b6435d0, 0 8
35,0eb6e8b4-bbb6-11e8-b2ba-ac1f6b6435d0, 0 25
